id,event_a_id,event_b_id,direction,layer_type,layer_entity_id,connection_type,strength_score,source_count,time_distance,manual_strength,manual_reason,verification_status,verified_by,verified_at,curated_status,curated_by,curated_at,curation_note,created_at,updated_at
3803,5199,22644,bidirectional,location,519914,follows,6.94,1,3,,,unverified,,,,,,,2026-02-13 20:23:14.551631,2026-02-13 20:23:14.551631
3804,22644,26037,bidirectional,location,519914,follows,6.98,1,1,,,unverified,,,,,,,2026-02-13 20:23:14.551631,2026-02-13 20:23:14.551631
3805,26037,11812,bidirectional,location,519914,follows,7,1,0,,,unverified,,,,,,,2026-02-13 20:23:14.551631,2026-02-13 20:23:14.551631
3806,11812,11404,forward,location,519914,follows,6.74,1,13,,,unverified,,,,,,,2026-02-13 20:23:14.551631,2026-02-13 20:23:14.551631
3807,11404,17719,forward,location,519914,follows,6.16,1,42,,,unverified,,,,,,,2026-02-13 20:23:14.551631,2026-02-13 20:23:14.551631
3808,17719,7305,forward,location,519914,follows,6.42,1,29,,,unverified,,,,,,,2026-02-13 20:23:14.551631,2026-02-13 20:23:14.551631
3809,7305,6309,bidirectional,location,519914,follows,6.96,1,2,,,unverified,,,,,,,2026-02-13 20:23:14.551631,2026-02-13 20:23:14.551631
3810,6309,8252,forward,location,519914,follows,6.64,1,18,,,unverified,,,,,,,2026-02-13 20:23:14.551631,2026-02-13 20:23:14.551631
3811,8252,31205,bidirectional,location,519914,follows,6.96,1,2,,,unverified,,,,,,,2026-02-13 20:23:14.551631,2026-02-13 20:23:14.551631
3812,31205,22521,forward,location,519914,follows,6.76,1,12,,,unverified,,,,,,,2026-02-13 20:23:14.551631,2026-02-13 20:23:14.551631
3813,22521,30511,bidirectional,location,519914,follows,6.94,1,3,,,unverified,,,,,,,2026-02-13 20:23:14.551631,2026-02-13 20:23:14.551631
3814,30511,20972,bidirectional,location,519914,follows,6.88,1,6,,,unverified,,,,,,,2026-02-13 20:23:14.551631,2026-02-13 20:23:14.551631
3815,20972,16172,bidirectional,location,519914,follows,6.86,1,7,,,unverified,,,,,,,2026-02-13 20:23:14.551631,2026-02-13 20:23:14.551631
3816,16172,30677,bidirectional,location,519914,follows,7,1,0,,,unverified,,,,,,,2026-02-13 20:23:14.551631,2026-02-13 20:23:14.551631
3817,30677,33395,bidirectional,location,519914,follows,7,1,0,,,unverified,,,,,,,2026-02-13 20:23:14.551631,2026-02-13 20:23:14.551631
