event_id,location_id,role
28083,2012922,location
28083,1116840,location
28083,1116856,location
28089,1116890,location
5194,1116840,location
5194,2012922,location
5195,1714923,location
5196,818728,location
5198,1150251,location
5199,519914,location
5204,2012922,location
5208,2012922,location
5208,1116840,location
5214,2030941,location
28096,860426,location
5220,1715700,location
5222,2600096,location
5223,819999,location
5227,1162832,location
5228,1457472,location
5235,1419744,location
5237,837734,location
5244,1717392,location
5247,2610892,location
5247,728577,location
5254,2013240,location
5256,1118740,location
5260,2611753,location
5268,557007,location
5274,2685146,location
5277,2629146,location
5281,1416102,location
5289,1715940,location
5289,823656,location
5290,2312860,location
5293,1715995,location
5298,2612041,location
5307,2312774,location
5310,2013252,location
5317,1131268,location
5318,2311969,location
5319,1116964,location
5324,520168,location
5328,822840,location
5334,523572,location
28130,2012958,location
5335,1117308,location
5341,1421335,location
5342,1121234,location
5344,2629834,location
5347,1714968,location
28135,534620,location
5355,520536,location
28136,2012993,location
5362,2312309,location
5365,1718847,location
28140,1415876,location
5374,1117755,location
5377,2316339,location
5378,2610868,location
5380,2311975,location
5382,1717392,location
5388,2012921,location
5392,560091,location
5399,2632027,location
28148,1722155,location
5404,1720181,location
5411,2013495,location
5412,818797,location
5415,820112,location
5431,1116861,location
5432,2610830,location
5433,1718881,location
5438,2012931,location
5440,2013532,location
5443,523141,location
5449,2018982,location
5450,820639,location
5451,1715235,location
5454,823355,location
5460,831417,location
5461,2611820,location
5467,1118224,location
28158,2013779,location
5472,2018052,location
5476,1165381,location
5476,1116840,location
5480,1420389,location
5483,818650,location
5484,2316876,location
5486,525791,location
5490,520046,location
28159,528503,location
5511,2012931,location
5530,524525,location
5535,1416391,location
5538,1125500,location
28170,2013513,location
5558,2013966,location
5563,1416106,location
5564,1719804,location
5566,2313068,location
5569,1118580,location
5570,1117832,location
5572,2331476,location
5577,1715522,location
5584,1415885,location
5585,1117109,location
5588,524098,location
28176,1715860,location
5589,521727,location
28180,2654330,location
5593,2012920,location
5597,2311975,location
5597,2634450,location
5598,1120423,location
28186,2315913,location
28188,2613345,location
5610,2610788,location
5613,1119046,location
28191,818396,location
5620,520207,location
5626,1116920,location
5629,519990,location
5635,2610782,location
5640,2313104,location
5642,1716581,location
5644,1717498,location
5653,1129048,location
5656,1715248,location
5657,1490614,location
5659,1732441,location
5661,2013687,location
5662,2311975,location
5664,520436,location
5667,820912,location
28211,2315122,location
