event_id,person_id,role,description
16768,1623547,conflict,
20267,1623547,conflict,
23165,1623547,conflict,
17604,1623547,conflict,
8226,1623547,conflict,
5444,1623547,conflict,
22619,1623550,conflict,
19629,1623550,conflict,
5398,1623550,conflict,
20005,1623550,conflict,
19627,1623550,conflict,
17054,1623552,participant_in,
19604,1623572,conflict,
17200,1623572,conflict,
16784,1623572,conflict,
15061,1623572,conflict,
25401,1623599,conflict,
8114,1623599,conflict,
22494,1623599,conflict,
13851,1623601,conflict,
5234,1623603,conflict,
13852,1623603,conflict,
19588,1623609,conflict,
20300,1623648,conflict,
25301,1623665,conflict,
25574,1623665,conflict,
8490,1623665,participant_in,
5246,1623667,conflict,
22512,1623667,conflict,
19588,1623667,conflict,
8138,1623667,conflict,
8469,1623667,conflict,
15709,1623709,conflict,
5311,1623709,conflict,
11073,1623709,conflict,
26824,1623709,conflict,
14028,1623709,conflict,
25407,1623738,conflict,
16859,1623738,conflict,
25598,1623738,conflict,
13997,1623738,conflict,
5823,1623738,conflict,
23521,1623743,conflict,
15492,1623743,significant_event,
20981,1623770,participant_in,
11008,1623770,participant_in,
5194,1623782,conflict,
5194,1623787,conflict,
11543,1623787,conflict,
16755,1623805,conflict,
16742,1623817,conflict,
25574,1623817,conflict,
11008,1623817,conflict,
19596,1623832,conflict,
8457,1623836,conflict,
19079,1623840,conflict,
7581,1623840,conflict,
17728,1623840,conflict,
22478,1623906,conflict,
19843,1623928,conflict,
16852,1623938,conflict,
25657,1623947,significant_event,
5735,1623977,conflict,
16755,1623996,conflict,
13947,1623996,conflict,
5409,1623996,conflict,
25307,1623996,conflict,
22089,1624033,participant_in,
14493,1624081,conflict,
19597,1624081,conflict,
11013,1624081,conflict,
11092,1624081,conflict,
25288,1624081,conflict,
22988,1624092,conflict,
16368,1624127,conflict,
25279,1624153,conflict,
19589,1624165,conflict,
16742,1624167,conflict,
16785,1624179,conflict,
22562,1624179,conflict,
25286,1624186,conflict,
14493,1624213,conflict,
25289,1624213,conflict,
11126,1624286,conflict,
8137,1624286,participant_in,
25308,1624325,conflict,
20490,1624325,conflict,
8675,1624344,conflict,
11126,1624344,conflict,
8137,1624344,participant_in,
25279,1624391,conflict,
16495,1624429,significant_event,
16742,1624456,conflict,
22478,1624456,conflict,
25303,1624456,conflict,
16785,1624456,conflict,
13893,1624456,conflict,
22478,1624457,conflict,
16785,1624457,conflict,
26129,1624457,conflict,
19589,1624478,conflict,
25301,1624494,conflict,
23863,1624522,participant_in,
11560,1624522,conflict,
16755,1624552,conflict,
22446,1624552,conflict,
11233,1624552,conflict,
14074,1624552,conflict,
5195,1624552,conflict,
22540,1624552,conflict,
19614,1624552,conflict,
16767,1624552,conflict,
26120,1624552,conflict,
23695,1624552,conflict,
8205,1624552,conflict,
17111,1624552,conflict,
5409,1624552,conflict,
25307,1624552,conflict,
22976,1624552,conflict,
16742,1624583,conflict,
22512,1624601,conflict,
