id,wikidata_id,name,name_ko,latitude,longitude,location_type,parent_location_id,created_at,updated_at,name_original,modern_name,country,region,is_region,coords_source,canonical_id,hierarchy_level,modern_parent_id,historical_parent_id,valid_from,valid_until,parent_id,display_level,display_zoom_min,display_zoom_max,description,description_ko,description_ja,name_ja,description_source,description_source_url,wikipedia_url,geocoded_by,geocoded_at,connection_count,type,is_light
519915,Q1468,Eschwege,,51.1880556,10.0527778,point,,2026-02-12 09:41:45.138938,2026-02-12 09:41:45.138938,,,,,f,,,,,,,,,3,0,10,,,,,,,,,,0,,t
519918,Q1513,Nagpur,나그푸르,21.1497222,79.0805556,point,,2026-02-12 09:41:45.138938,2026-02-12 09:41:45.138938,,,,,f,,,,,,,,,3,0,10,,,,,,,,,,0,,t
519923,Q1707,Kiel,킬 (슐레스비히홀슈타인주),54.3233333,10.1394444,point,,2026-02-12 09:41:45.138938,2026-02-12 09:41:45.138938,,,,,f,,,,,,,,,3,0,10,,,,,,,,,,0,,t
519925,Q2096,Edmonton,에드먼턴,53.5333333,-113.5000000,point,,2026-02-12 09:41:45.138938,2026-02-12 09:41:45.138938,,,,,f,,,,,,,,,3,0,10,,,,,,,,,,0,,t
519933,Q3255,Usedom,우제돔섬,53.9333333,14.0833333,point,,2026-02-12 09:41:45.138938,2026-02-12 09:41:45.138938,,,,,f,,,,,,,,,3,0,10,,,,,,,,,,0,,t
519936,Q3489,Harburg,,53.4592583,9.9826722,point,,2026-02-12 09:41:45.138938,2026-02-12 09:41:45.138938,,,,,f,,,,,,,,,3,0,10,,,,,,,,,,0,,t
519937,Q3503,Congo,콩고강,-6.0750000,12.4500000,point,,2026-02-12 09:41:45.138938,2026-02-12 09:41:45.138938,,,,,f,,,,,,,,,3,0,10,,,,,,,,,,0,,t
519938,Q3543,Potenza,포텐차,40.6333333,15.8000000,point,,2026-02-12 09:41:45.138938,2026-02-12 09:41:45.138938,,,,,f,,,,,,,,,3,0,10,,,,,,,,,,0,,t
519942,Q3742,Casablanca,카사블랑카 (칠레),-33.3166667,-71.4166667,point,,2026-02-12 09:41:45.138938,2026-02-12 09:41:45.138938,,,,,f,,,,,,,,,3,0,10,,,,,,,,,,0,,t
519943,Q3751,Praia,프라이아,14.9177194,-23.5091556,point,,2026-02-12 09:41:45.138938,2026-02-12 09:41:45.138938,,,,,f,,,,,,,,,3,0,10,,,,,,,,,,0,,t
