id,source_type,title,author,publication_year,original_year,language,content_raw,chapter,chunk_index,url,wikidata_id,gutenberg_id,reliability,created_at,link_count,content_html,word_count
122137,wikidata,Battle of Halule - Wikidata,,,,en,ancient battle,,,https://www.wikidata.org/wiki/Q2888775,Q2888775,,3,2026-02-12 09:41:45.138938,,,
2331120,wikidata,Battle of Wurzach - Wikidata,,,,en,1525 battle,,,https://www.wikidata.org/wiki/Q12001410,Q12001410,,3,2026-02-12 09:52:01.327167,,,
1579117,wikidata,Siege of Kiev - Wikidata,,,,en,1324 siege,,,https://www.wikidata.org/wiki/Q113954909,Q113954909,,3,2026-02-12 09:47:54.873483,,,
4113694,wikidata,Convention of Vigevano - Wikidata,,,,en,"Cease-fire agreement for Italy, signed on 7 October 1696 between kingdom of France and the Duchy of Savoy on one side, and emperor Leopold I and kingdom of Spain on the other",,,https://www.wikidata.org/wiki/Q2518941,Q2518941,,3,2026-02-12 10:03:13.709822,,,
422231,wikidata,Battle of Brest - Wikidata,,,,en,1592 battle,,,https://www.wikidata.org/wiki/Q17515442,Q17515442,,3,2026-02-12 09:43:27.460362,,,
12046000,wikidata,Battle of Kolding - Wikidata,,,,en,1658 battle between Sweden fighting the forces of Denmark–Norway and the Polish–Lithuanian Commonwealth,,,https://www.wikidata.org/wiki/Q541566,Q541566,,3,2026-02-12 11:06:22.781932,,,
10715510,wikidata,Battle of Kampala - Wikidata,,,,en,1986 battle of the Ugandan Bush War,,,https://www.wikidata.org/wiki/Q39049726,Q39049726,,3,2026-02-12 10:55:17.297701,,,
185153,wikidata,Battle of Pequawket - Wikidata,,,,en,1725 Last major engagement between the English and the Wabanaki Confederacy in Governor Dummer's War.,,,https://www.wikidata.org/wiki/Q4872015,Q4872015,,3,2026-02-12 09:42:12.764013,,,
8253552,wikidata,Battle of Raf-Raf - Wikidata,,,,en,1959 battle,,,https://www.wikidata.org/wiki/Q6861086,Q6861086,,3,2026-02-12 10:35:34.015485,,,
10060250,wikidata,Siege of Pilsen - Wikidata,,,,en,"battle of the Bohemian Revolt, 1618",,,https://www.wikidata.org/wiki/Q944855,Q944855,,3,2026-02-12 10:49:29.972686,,,
5688583,wikidata,Battle of Amman - Wikidata,,,,en,1970 battle,,,https://www.wikidata.org/wiki/Q122663296,Q122663296,,3,2026-02-12 10:15:29.776723,,,
8590471,wikidata,Wars between the Jin Dynasty and the Sixteen Kingdoms - Wikidata,,,,en,Wikidata entity Q25390629,,,https://www.wikidata.org/wiki/Q25390629,Q25390629,,3,2026-02-12 10:38:03.402742,,,
8069835,wikidata,Siege of Vannes - Wikidata,,,,en,1342 siege during One Hundred Years War,,,https://www.wikidata.org/wiki/Q1194227,Q1194227,,3,2026-02-12 10:33:17.400893,,,
78549,wikidata,Battle of the Sutjeska - Wikidata,,,,en,"1943 battle during World War II, major part of Operation Schwarz.",,,https://www.wikidata.org/wiki/Q1419973,Q1419973,,3,2026-02-12 09:41:45.138938,,,
3510601,wikidata,Capture of Chernobyl - Wikidata,,,,en,battle in the 2022 Russian invasion of Ukraine,,,https://www.wikidata.org/wiki/Q111012383,Q111012383,,3,2026-02-12 09:59:17.6388,,,
14044860,wikidata,Battle of Badr - Wikidata,,,,en,624 battle between the Muslims and the Quraysh near Badr (present-day Saudi Arabia),,,https://www.wikidata.org/wiki/Q486124,Q486124,,3,2026-02-12 11:24:31.053949,,,
7780375,wikidata,Hoang Dieu Campaign - Wikidata,,,,en,Wikidata entity Q130616488,,,https://www.wikidata.org/wiki/Q130616488,Q130616488,,3,2026-02-12 10:31:26.259967,,,
14270952,wikidata,Siege of Belgrade - Wikidata,,,,en,1789 military action of the Austro-Turkish War,,,https://www.wikidata.org/wiki/Q7509870,Q7509870,,3,2026-02-12 11:27:17.154333,,,
14397679,wikidata,Combat at Rincón de Zárate - Wikidata,,,,en,Wikidata entity Q16491215,,,https://www.wikidata.org/wiki/Q16491215,Q16491215,,3,2026-02-12 11:28:19.934534,,,
8085257,wikidata,Battle of Jüterbog - Wikidata,,,,en,"battle of the thirty years' war, 1644",,,https://www.wikidata.org/wiki/Q1584586,Q1584586,,3,2026-02-12 10:33:17.400893,,,
14384439,wikidata,Battle of Mount Zemaraim - Wikidata,,,,en,ancient battle,,,https://www.wikidata.org/wiki/Q16132376,Q16132376,,3,2026-02-12 11:28:19.934534,,,
3456472,wikidata,Q108210205 - Wikidata,,,,en,1701 battle,,,https://www.wikidata.org/wiki/Q108210205,Q108210205,,3,2026-02-12 09:59:17.6388,,,
10729224,wikidata,Siege of Chandax - Wikidata,,,,en,Successful Byzantine siege of Muslim Crete,,,https://www.wikidata.org/wiki/Q43085092,Q43085092,,3,2026-02-12 10:56:05.838733,,,
10030248,wikidata,Second Battle of Kharkov - Wikidata,,,,en,May 1942 battle during World War II,,,https://www.wikidata.org/wiki/Q155620,Q155620,,3,2026-02-12 10:49:29.972686,,,
23723,wikidata,Battle of Grunwald - Wikidata,,,,en,1410 battle between the Teutonic Knights and Poland–Lithuania,,,https://www.wikidata.org/wiki/Q33570,Q33570,,3,2026-02-12 09:41:45.138938,,,
6102191,wikidata,Battle of Tampa - Wikidata,,,,en,1862 minor engagement of the American Civil War,,,https://www.wikidata.org/wiki/Q2067472,Q2067472,,3,2026-02-12 10:18:10.620346,,,
67908,wikidata,Siege of Verrua Savoia - Wikidata,,,,en,1704 siege,,,https://www.wikidata.org/wiki/Q1121440,Q1121440,,3,2026-02-12 09:41:45.138938,,,
6481756,wikidata,Vardan III Mamikonian uprising - Wikidata,,,,en,571–571 rebellion,,,https://www.wikidata.org/wiki/Q20510892,Q20510892,,3,2026-02-12 10:21:55.395789,,,
14625282,wikidata,Battle of Acre - Wikidata,,,,en,1840 battle between Egypt and the Ottoman Empire,,,https://www.wikidata.org/wiki/Q27627693,Q27627693,,3,2026-02-12 11:31:11.266653,,,
10204673,wikidata,First Battle of El Djorf - Wikidata,,,,en,1955 battle in the French-Algerian War,,,https://www.wikidata.org/wiki/Q5454129,Q5454129,,3,2026-02-12 10:51:01.081074,,,
14185087,wikidata,Battle of Danny Boy - Wikidata,,,,en,2004 battle of the Iraq War,,,https://www.wikidata.org/wiki/Q4870844,Q4870844,,3,2026-02-12 11:26:13.67924,,,
14054563,wikidata,Cologne Diocesan Feud - Wikidata,,,,en,15th century Western European conflict,,,https://www.wikidata.org/wiki/Q727922,Q727922,,3,2026-02-12 11:24:31.053949,,,
11085315,wikidata,Battle of Notre Dame Hospice - Wikidata,,,,en,1948 battle,,,https://www.wikidata.org/wiki/Q86001029,Q86001029,,3,2026-02-12 10:58:33.843097,,,
557971,wikidata,Battle of Lumë - Wikidata,,,,en,1912 part of the First Balkan War,,,https://www.wikidata.org/wiki/Q23020293,Q23020293,,3,2026-02-12 09:43:50.888301,,,
12240145,wikidata,1979 Ghanaian coup d'état - Wikidata,,,,en,uprising,,,https://www.wikidata.org/wiki/Q6312181,Q6312181,,3,2026-02-12 11:09:00.731196,,,
7431051,wikidata,Battle of Mata Redonda - Wikidata,,,,en,1636 battle,,,https://www.wikidata.org/wiki/Q106542703,Q106542703,,3,2026-02-12 10:29:07.83909,,,
15733176,wikidata,Siege of Ontala - Wikidata,,,,en,Wikidata entity Q125421935,,,https://www.wikidata.org/wiki/Q125421935,Q125421935,,3,2026-02-12 11:41:56.148693,,,
3291414,wikidata,Siege of Nicosia - Wikidata,,,,en,1570 siege,,,https://www.wikidata.org/wiki/Q97648727,Q97648727,,3,2026-02-12 09:57:57.09227,,,
4289647,wikidata,Battle of Skała - Wikidata,,,,en,Wikidata entity Q9173550,,,https://www.wikidata.org/wiki/Q9173550,Q9173550,,3,2026-02-12 10:05:11.883142,,,
14185088,wikidata,Battle of Dazhongji - Wikidata,,,,en,1945 battle during the Chinese Civil War,,,https://www.wikidata.org/wiki/Q4870851,Q4870851,,3,2026-02-12 11:26:13.67924,,,
8099178,wikidata,Treaty of Constantinople - Wikidata,,,,en,1479 treaty between the Republic of Venice and the Ottoman Empire,,,https://www.wikidata.org/wiki/Q1980621,Q1980621,,3,2026-02-12 10:33:17.400893,,,
642740,wikidata,Siege of Ancona - Wikidata,,,,en,1860 siege,,,https://www.wikidata.org/wiki/Q28671351,Q28671351,,3,2026-02-12 09:44:14.873808,,,
14215553,wikidata,Battle of Los Alporchones - Wikidata,,,,en,1452 battle of the Spanish Reconquista,,,https://www.wikidata.org/wiki/Q5722659,Q5722659,,3,2026-02-12 11:27:17.154333,,,
8098176,wikidata,Battle of Alkmaar - Wikidata,,,,en,1799 battle of the War of the second coalition,,,https://www.wikidata.org/wiki/Q1933601,Q1933601,,3,2026-02-12 10:33:17.400893,,,
14052384,wikidata,Siege of Madrid - Wikidata,,,,en,1936–39 siege during Spanish Civil War,,,https://www.wikidata.org/wiki/Q685062,Q685062,,3,2026-02-12 11:24:31.053949,,,
